sentence	label
it's a charming and often affecting comedy.	1
unflinchingly bleak and desperately desperate.	0
allows us to hope that Nolan is poised to embark a major career as a commercial yet independent filmmaker.	1
the acting, costumes, music, cinematography and sound are all impressive given the production's austere locales.	1
it's slow -- very, very slow.	0
Aldough laced with humor and a few familiar touches, the film is a refreshingly honest look at young women.	1
a symposiums teatimes festival.	0
or doing last year's taxes with your ex-wife.	0
You do not have to know about music to appreciate the film's eclectic blend of comedy and romance.	1
in exactly 89 minutes, most of which passed as SLL as if I'd been sitting next to an igloo, floumla 51 skip from qirky to jerky to utter Tuky.	0
the mesmerising performances of the leads see the Film Grounded and kick the audience engaged.	1
it takes a strange kind of laziness to waste the tents of Rogue Firefighter, Neemera, Eugene Levinson and Robert Veljohnson all in the same movie.	0
the film suffers from a lack of humor (something needed to balance out the violence).......	0
we resent for (cara and paul), even though perhaps it's an emotion closer to pity.	1
EVen horror movies will seem like they never find what they're seeking with trouble every day; the movie lacks both thrills and heartbreak.	0
a great, hand-picked musical from India that exquisitely blends music, dance, song, and high drama.	1
the emotions are raw and will strike a nerve with anyone who's ever had family trauma.	1
Audrey Taou has a knack for writing rhymes that match her outrageous charm, and in this light-hearted french comedy, she's as making-orly English as she was in America.	1
the movie is just a plain old monster.	0
in its best moments, resembles a bad high school piece of grease, without the benefit of song.	0
pumpkin takes an admirable look at the hypocrisy of political campaigns, but it does so with such an unnatural tone that you never know when humor ends and tragedy begins.....	0
the iditarod lasts for days - this one felt like it did.	0
Holden Calufield did it better.	0
a delectable and intriguing thriller filled with surprises, read My lips is an organical...	1
Rare has a man so closely met the spirit of a man and his work.	1
NIKs, seemingly unaware What's going to make people laugh, runs the gamut from stale parody to raunchy sketches to Family Radio Comedy.	0
The action switches between pace and post, but the material link is too tenuous to anchor the economic conditions that purport to span a 125-year divide.	0
it's an offbeat treat that pokes fun at the democratic election while also exaggerating its impact for those who take part.	1
it's a comedy-themed movie, a cut-and-paste job.	0
i had to look away -- This was just awful.	0
thanks to Scott's comic adventurer and Eisenberg's new book, road dodger is one of the most compelling things on in the company of Men.	1
designed to provide a mix of smiles and tears,  comics' instead provokes a handful of ordinary howlers and nurses yawns.	0
a gorjeose, WItties, Specialist move.	1
if the move succeeds in injecting a wary sense of duty but for the cause of god,' it is far too self-conscious to draw you down into its world.	0
It does not break in its own, it has no sense of home.. it's just plain bored.	0
a sequence of ridiculous shoe - 'em -- epic scenes.	0
the width of the piece, the unerring poeticalism of the chilly production, and the fascination embedded in the lurid 2pic prove recommendation enough.	1
((w))))While long on amiable monkeys and worthy environmentalalism, Jane Goodall's wild chimpanzees is short on the thrills the oversize medium delivers.	0
as surreal as a diagram and as detailed as a pHoGraph, as visually dexterous as it is at times almost overwhelming.	1
escaping the Stdo, Picci is very afflicting and so is this dark magic movie.	1
there's... Tremendoos energy from the cast, a sense of pomp and excitement that seems appropriate.	1
this ILLuminitating documentary transforms over protected vision of the holy land and its inhabitants, unravelling THE humanities beneath.	1
the subtle stretching of  English '' is that it never loses touch with the reality of the grum society.	1
holm.....Made the church with an extremely regal character.	1
the title not only describes its main characters, but to the lazy people behind the camera as wel.	0
It offers light beyond the mundane joys of pretty and weightless intellectual energy.	0
a synopsis of scenes and absurdities that SEEMS positively doomed in its cinematic flash and emptiness.	0
a small and well-built (for the most part) chiller.	1
has a lot of The Virtue of Eastwood at his bedside.	1
it feels like an anti-Semitic thriller backed up with some fancy social effects, and watching its random plot points confluence is about as exciting as looking at an egg timer for 93 minutes.	0
for the most part, doctor Anne-Sophie Birot's first novel is a sensitive, emotionally well-acquainted drama.	1
Mr. Tasai is a very original actor in his memoir, and what theme is it there?	1
Sade is an engaging look at the controversial eponymous and fiercely accurate HR.	1
so devoid of any kind of intelligence society that it makes films like x and collateral damage seem like thougful treatises like tortured treatises	0
a tender, heartfelt family tragedy....	1
a Hollywood joke told by a cinematic genius having too much fun emblassing the misanthropic tale to effectively end it.	0
the cold weather would have given a far better title.....	0
Mangs to be both reflexively rhetorical AND muted.	0
it's just drama superficiel --- a movie that has all the elements necessary to be a fantastic, involving character development, but none other than catch the surfcave...	0
this is a story of two misfits who don't stand a challenge alone, but Together they are magnificent.	1
Shakespeare has to find some hook on what to hang his persistently useless moovies, and it might as well be the re-use of the middle-aged child.	0
the original form of this film seems to bubble up from the vast cultural memory of the combatants.	1
on this trivia topic, twitter is very much a step in the right direction, with its blend of generosity, courage and compassion.	1
the Script kicks in, and M. Hartley's disinterested poetry and foot-dragging rhymes follow.	0
You wonder why Enough was not just a music video rather than a full-length movie.	0
if you're hard up for rugby collapsing Humor, that is your tick right here.	1
a first, funny, highly anticipated movie.....	1
good old-fashioned sh-andac is bad!	1
this OEE is definitely one to skip, even for horror movies.	0
for all its impoverished capitalism, and despite an overarching series of third-at-clock crescendos, the one-cue operator reliably builds up a head of operational excellence.	0
expertly nailed in mood tics and Dialogue, this comedy drama is supplied by the highly applauding veteran band and the chilling but quite humor brilliance.	1
uses high comedy to evoke Surprising power.	1
a number of creepiest, scariest movies to come along in a long, long time, easily retrieving Baal Witch or the other.	1
a series of rehashed sight is basted in insipid vulgarity.	0
among the year's most fascinating explorations of language.	1
the movie fails to live up to the sum of its parts.	0
the son's room is a triumph of genius that reminds its millions of people...	1
there is nothing outshining about this film, but it is good enough and will likely be adopted most by sailors and fish who claw their way around a submarine.	1
this is a train wreck of an action film -- a satisfying attempt by the filmmakers to force-feed James Bond into the mindless x-Memoon and throw 400 years of cinematic history down the toilet in favor of brilliance flahes and loud bangs.	0
the draw (for  big bad love'') is a stylized performance by Aris Woodward.	1
green might want to hang out to watch ski mountain, as robbery may be the only way to pay for his next project.	0
it's Oe pussy-assy world where killer-hunters evolve around goup thaerapy sessions.	0
though it's become all too easy to say so, major damages go to hell for athleticising people who look weird.	1
the BBC's courage in the face of official repression is inspiring, especially for angry hippies (this one included).	1
The movie actors as good an impact by knowing these things hidden as... (QQUIlls) did by showing them....	1
The film fades when it should peak and is Mre missed Opportunity and tifle that dark, decadent thriller.	0
JagLom... put (s) the adieu in the popular position of EASDROPIG on his characters.	1
fensallo's dark and jolting images have a way of plying it into your subconscious like the nightmare you had a week ago that didn't go away.	1
we know the plot is a little crazy, BUT it held my interest from start to finish.	1
It's a snapshot affair, but when it hits its mark it's British.	1
hardly a minimalistic, but it introduces viewers to a good charismatic enterprise and some engaging real people.	1
yu woon't lie regr, but you will surely recognise him...	0
if Steven Soderbergh's  Sis'Is a fool it is a great film.	1
byler relives his characters in a way that itrigs and even functions out, and he never reduces the situation to simple melancholy.	1
His riveting world war i moral suspense thriller deals with the shadow side of American culture: racial prejudice in its ugly and destructive forms.	0
It's difficult to identify the processes that preceded SHHH a script, but here's guessing that spray smoke and underarm noises played a crucial role.	0
no further slurp for doctor Sam mends, who goes from Oscar winner to Oscar-winning potential with a smooth swing of hand.	1
on the way, the movie lacks wit, feeling and confidence to cope with its inherent coarseness and banality.	0
why make a documentary about the marginal historical figures?	0
Neil Parker nor Donovan is a typical Ronmical led, but they bring a fresh, Qirky look to the team.	1
his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.	0
a gripping movie, played with performances that are all overdone and touching.	1
it's one of those Basseball moments where the husband is stat, the wife is pregnant, the kids are as cute as a go-to and the odds against success are long enough to induce, but short enough to make a dream seem possible.	1
commuting scratch-cut editing and a blaring holiday scene much of the time, because seems to be under the assumption that he's shooting the latest system of a Down video.	0
The movie's relatively simple plot and uncompleted morality play will with the amazing cast.	1
What the Director can't do is make either of Val Kilmer's two perosans interesting or worth caring at.	0
To often, the viewer isn't reacting to horror so much as they are wincing back in response.	0
it's gritty engineering form that represents a place and time that will never come again.	1
scroes No points for intelligence, war, or intelligence.	0
there isn't nearly enough food here, despite the presence of some appalling insects.	0
this move is maddening.	0
it haunts you, you can't forget it, you acknowledge its conception and are able to resolve some of the confusions you had while watching it.	1
Same mendes has become valdician at the cool for sudden changes and easy ways out.	0
one of the most significant changes on sports culture I've seen in a long time.	1
my, heartbreaking, and framed in a natural, undefined style that makes its critics seem increasingly controlling EN when its script is not.	1
Every mention of the new guy reminds you that you could be doing something else far more pleasurable.	0
comes... uncomfortably close to coasting in the trades of the bicycle Thief.	0
warm water under a red bridge is a quirky and pint japanese fashion that explores the fascinating connections between water, water, nature, nature, and science.	1
it seems to me the film is about the art of rippig people off without ever letting them know they have done so.	0
old-form mooviemaking at its best.	1
) ((Larence bounces) ALL over the SE, dancing, running, swinging, popping his face and generally dsplaying the white light that made him fade in the first place.	1
a man that reminds us of just how exciting and satisfying the fictional world can be when it's associated with imagination and fair.	1
confirms the nagging suggestion that Ethan Hawke would be even worse behind the camera than he is in front of it.	0
in the end, we are left with some sorting like two ships passing in the net rather than some insights into gay love, Chinese society or the Prince on earth.	0
Montias... pumps a lot of energy into his newly nuanced nuclear and surrounds himself with a cast of quirky -- but not stereotyped -- stunt cars.	1
it provides the ground, independent entity of a supervisor contract paying SMSP amid a growing pot.	1
SFS from the lack of a compiling or coherent narrative.	0
in execution, its creator idea is far less funny than the original, claims Fifa space.	0
the tale of tak (andy lau), a sleek sociopath on the island of o (takashhi sorimacho), the most legendary of sin hitmen, is too strange to take hold.	0
it all drags on so interminably it's like watching a mirage reel unfold in real time.	0
Pumpkin seems to be antagoeus dark spot on family life, but its adaptations for eclipsed the achievements of writer aam Lord Boer and his co-director, Tony R. Abrams, in their triple debut.	0
looks and feels like a piece of paper used for the small screen.	0
that is a compliment to Kuras and milk.	1
it's not the ultimate depression-era generation move.	0
sacrifices the value of its work of archival fiction with its least-harmed-of-all-purpose stance.	0
the creator of zgizzz is not sufficiently developed to support a film constructed around him.	0
what better metaphor than  love them all' help young women of any size rise?	1
a sad film... but more clichés than it is really stirring.	1
wh (hell) has learned new tricks, the tricks alone are nothing enough to salvage this lifeless boxing legend.	0
the body that can be sad about the work here of Scottish director Ritchie... is that he obviously does not have his heart in it.	0
about a monster hero who fights back at his attackers, it's entertaining and satisfying if not deep and poetical.....	1
The talented and clever Robert Rodriguez characters put a title to make heroism into his first film and did not succeed enough for his sequel...	0
fees to formulaic and too familiar to produce the transgressive thrills of their engorged work.	0
the visual dramas of Fifty Four is the soundtrack of this unhurried, low-key film that is so off-hollywood that it seems positively French in its rhythms and resonance....	1
Open VR god for what it's trying to do.	1
A bisexual, gorgeous, sweaty swashbuckler that hides its divessions in great, uncomplicated fashion.	1
a complex, absorptuous film that manages to convey more substance through its repetitions and inconsistencies than do most films that are far more polished and clear....	1
the heavy-handed film is almost laughable as a comedy.	0
a detailed examination of the Male midlife crisis.	1
a midnight date with a half-faced woman did a great disservice by a leader of critical debate and a sad trust in literary arts culture business plagiarisms.	0
MGs to transform the sex, drugs and show-tunes plot are making them far richer.	1
Like Leon, it's frustrating and still oddly likable.	1
UNcommonly stylish but equally simple... the plot works to generate much suspense, nor does it ask searching English questions to James s readers...	0
not exactly the bees knees knees.	0
the seems to be no clear picture as to where the story's going, or how long it's going to take to get there.	0
Slapstick comedy can tickle many a preschooler's fancy, but when it costs a family of four about $40 to see a film in theaters, why spend money on a dog like this when you can rent a pet instead?	0
a woman's pic published with reference by Emily Chaiken.	1
may reawaken debate of the Kennedy Academy but this fictional film has made for cable television time for the big screen.	0
Charactors still need to function according to some set of believable and comprehensible impulses, no matter how many dots they do or how many random events occur in everyday life.	0
Matthews to be quiet and legally stingy at the second time.	1
LG's film is full of memorable experiences from top to bottom.	1
it's also, clearly, great fun.	1
it seems like i have been waiting my whole life for this movie and now i can't wait for the sequel.	1
determined to be fun, and bouncy, with energetic musicals, the humor did not quieten his audience.	0
if you dig on David Meteor's mind tricks... watch this movie and enjoy!	1
bluffly funny,its chapters all the way to death for refusing to sacrifice people or memorialise demels.	1
delivers the same old same old, tarted up with late fashion and turned off by hollywood plays.	0
does not offer mock besidies glib society, racist language and a series of brutal set pieces... that raise the bar on stylized school violence.	0
it made me want to wipe my eyes out of my head and toss them at the sun.	0
The film's performances are extremely tiring.	1
unfortunately, it's not so much fun until you enjoy ally bad movies.	0
it's a bad thing when a movie has as much subtanence as its end credits brilliance.	0
i sympathize with the pain of these families, but the movie does not do a very good job conveying the issue at hand.	0
Though pry and hurley make inspiring efforts to breathe life into the disjointed, chaotic script by Jay Scherick and David Ronson, neither the actos nor director Richard Hudlin can make it more effectively entertaining.	0
a Must-see for the David Mater enthusiast and for Aynone who expects innovative, stylish moviemaking.	1
Paccinio is brilliant as the sleep-deprived dormer, his increasing waris as much existential as it is fictional.	1
the niro... is a reliable source of evidence proof that this holywood contrivance origins are.	1
a feminist piece of filth attempts to pass itself off as hip, young adult entertainment.	0
Its sequel may be a decade old, but why did it have to feel like it took another thing to tell it to us?	0
try as i may, i can't think of a single good reason to see this movie, even though everyone in my group enthusiastically shouted,  thank you!	0
the movie is beautiful to watch and enchants one in a sense of epic stranglehold -- inner and outer ear -- that's all to rare in hollywood's finest productions.	1
a celebration of quirkiness, eccentricity, and cultural innovations' tendenance to let it all hang out, and damn the consequences.	1
Morton uses her face and her body language to bragging us Morvren's Soul, even though the character is almost completely deadpan.	1
in imitation of a hipster Bet-cared urban western, it's an unusual, sociologically pintled slice of life.	1
some thoughts were focused on the holidays.	1
So, too, is this comedy about mild climate change in today's new Delhi.	1
for Satters, the story is just too slim.	0
This is a winning ensemble comedy that shows canadians can put great laughs and emotional thoughts on the button, just as easily as their counterparts anywhere else in the world.	1
AT the very least, if you don't know anything about Disney when you walk into the theater, you won't know much more when you leave.	0
the frmaat Gets used by... to cope with the dizzying heights achieved by mothers and bumx rods, while battery charging often ends in bone-crushing screwups.	1
nde the film's conflict-powered plot three is a decent movie trying to get out, but it's not that, it's The Tension that keeps you in your seat.	1
Three have agreed to be a Driving License, so that Ed Brown can have his license renewed.	0
bad.	0
That dogged good will of the people and  Vain's defoliation of go, make the film that descend some doldrums.....	1
falls neatly into the category of good stunt fun.	1
an artful, inventive film that stays within the constraints of a well-established genre.	1
smart, provocative and brilliantly funny.	1
And the lesson, in the Edd, is nothing new.	0
this is not the undisclosed worst boxing video ever, but it's clearly not a comedy - the big loser is the audience.	0
Not only is Udecven brother as well, if not more so, then both austin powers films, but it's also one of the great, saver spoilers to come all in some time.	1
to say this was better in wilder's some like it hot is like saying the sun rises in the ocean.	0
the entire movie is about a booring, sad man being boring and sad.	0
His favorite Mr. Burst is trying to sneak in the biggest scorsese stuntmaster movie, but his self-reflecting sentimentality trips him up again...	0
perceptive in its vision of net industrialised world politics as a new art form, but far too clukny, didactic and saddled with scenes that seem like an ideal fit for this movie.	0
The bet revenge may not be living well because the family, unlike other dadas attitudes, is far more likened to a torture than a lengthy jail sentence.	1
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its power.	1
once (Kim) begins to OVeRPLAY THE SHock Tactics and bat-in-the-head monsters, you may decide it's to hike a price too high for a striking picture postcard.	0
all that's missing is the service, organisation and dedication.	0
what the film lacks in general focus it makes up for in composition, as corcuera manages to find the seeds of hope in the form of collectivism.	1
The socio-histo-political treatise is told in earnest stories... (and) personal identity is deconstructed with poignancy.	1
my reaction in a word: disappointment.	0
A psychological thriller with a wonderfully funky theme and an over-the-top cast, actor Bill Paxoton's dramatic debut is a sweet slice of gothic rural America.	1
crany, scandalous and tragical, but still manages to be full of heartwarming, unforgettable moments.	1
nothing's at stake, just a twisty double-cross you can smell a mile away -- still, the ridiculous nine hours is lots of fun.	1
Far more imaginative and ambitious than the trivial, cartoon features Nickelodeon has made from its older animated television series.	1
Oof course, by more objective measurements it's still quite bad.	0
as the two leads, lanthan and diggs are charming and have Chemistry as friends and lovers.	1
it provides an honest look at a community starting to investigate suicide in new grounds...	1
This Mvoie seems to have been written using ms.	0
Manton and Brabra are complex characters -- sometimes stranger, sometimes angry -- and the dramatic performances by Steven Weider and VikaSEL make their hopes and frustrations vivid.	1
it's not that kung pow isn't funny so much of the time -- it just isn't any funnier than bad martial arts movies are all by themselves, without all Oedekerk's original adaptation.	0
i'd have to say the star and director are the big problems here.	0
affleck and Jackson are god-spreading politicians.	1
wheither you like rap music or loathe it, you can't deny themselves the tragic fates of two young men in the prime of their tale or the preview of this movie.	1
Nootot since Japan's founder Akia kurosawa's run have the spirit of combat and the specter of death been visualized with such operational genius.	1
a by-the-numbers operation that won't do much to overhaul the franchise.	0
an occasionally funny, but overall limp, fish-out-of-water story.	0
Brilliantly explores the conflict between following One's heart and following the dictates of tradition.	1
devoid of the 2-d animation, the Wild thornbears move makes for a truly unique experience.	1
it appears that something has been lost in the translation to the Scottish.	0
it all feels like a little pthon Skeleton go horribly wrong.	0
The film tues into a grief that could lead a man across centuries.	1
dazzles with its fully-writable characters, its character-driven style (which often relates to characters and story) and Jonathan Dunkwrth's BST soundtrack in Years....	1
it's a work by an artist who is in control of both his medium and his music that he can improvise like a zombie.	1
it's the charisma between the women and the film industry--sstealing with added welfare populism of anna chancellor that makes this  to words and a literary '' fun.	1
stealing Haravard is expelled from the farrelly brothers. -- Peter and BBO -- and tirade of screen comedy are wheezing to an end, along with green's half-hearted me career.	0
a full screen has been projected onscreen, not so many sees of clearly specified POV points being broadcasted to a P8 audience.	1
husband nails about the glad-handling and the chicking sense of Hollwow despair.	1
one of the more influential children's movies to hit theaters this year.	1
The FM works too hard to be fun and tries too hard to be hip.	0
Billie Holiday's performance confirms her place once again.	1
Attempts by this experimental film to impart a message are so heavy-handed that they instead plumb the audience.	0
no one but a contempt guilty of some very heinous crime should have to cut through the mask of disgrace.	0
rarely has so much money delivered so little entertainment.	0
Taylor appears to have spent his entire budget on soundtrack rigging and HD footage left open for jokes.	0
the time machine is a machine that has no interest in itself.	0
A rarity among recent italian film its is a cold full of gentle humor that chides the absurdity of its actor's plight .	1
/ bt daphne, you're to buff / Freddy thinks he's tough / and vama - wow, you've lost weight!!	0
The very usefulness of the  simple'move, but it is a good starting point for doctor surgeon.	1
it's like every bad idea that's ever gone into an extra-curricular college compound in one place, minus the daytime programmes' spelling and sophistication (and who knew they even had any?)	0
chilling, well-acted, and finely directed: David Jacobson's Daughter.	1
it can't decide if it wants to be a mystery/triller, a romance or a comedy.	0
pid in full is so stale, in fact, that its most vibrant scene is one that uses clips from Brian de Pamla's face.	0
a coda in every sense, the Pinochet case splits time into a minutiae--myth account of the British court's extradition chess game and the regime's tortured survivors.	1
it's played in the most strangled-faedd fashion, with little humor to light things up.	0
a dumb move with dumb crickets doing dump tactics and you have to be really dumb not to see where this is going.	0
wed virtually no interesting events for an audience to focus on, Chelsea walls is a triple-emissions endurance challenge.	0
a dense with characters and contains some thrilling moments.	1
As unseemly as its title suggests....	1
Migration research is exactly what the trade secrets are, a report.	1
it's hard to find a story about a guy who is utterly indebted, and soner, sitting quietly together as an American boxing promoter desperate for a stage of Fame and fortune, is precisely that.	0
an entertaining, clever, action-filled crime story with an Inside Heart.	1
For this reason and this reason only -- the power of its own steel, high-tech constructions -- Chelsea walls develops a model.	1
it just may inspire a few younger moviegoers to read Stevenson's book, which is a tale in and of itself.	1
Basicly a static series of semi-improvised (and semi-coherent) movies between the stars.	0
with  the brunette nation'' We return to the more traditional action genre.	1
it's so good that its reels, polished with can withstand not only its school productions, but even Oliver parker's me at least.	1
chokes on its own depiction of upper-class democracy.	0
a reworking work of art for only the most creative and challenge-hungry artists.	1
Described in a pint-by-numbers manner.	0
K-19 exploits or subset collective fear of nuclear weapons to gain control hollywood television.	0
AT its best, queen is cocky enough to emulate the Victorian stage horror classics of the '60s...	1
it's a much more emotional journey than what shyamalian has given us in his past two movies, and gibson, stepping in for Bruce Willis, is the perfect agent to take us on the journey.	1
the quality of the art combined with the human and intricacy of the script allowed the filmmakers to present the literary message of Freedom without it ever becoming perachy or Syrup.	1
delightfully fun, fast and loose, accessible to the uninitiated, and full of surprises.	1
even with a green mohawk and a set of fire-red flame tattoos covering his shoulder, head, Kilmer seems to be posing, rather than acting.	0
the story and the friendship precedes in so much a way that you're writing a soap opera rather than a chronicle of the ups and downs that many happy moments.	0
at a time when all the so-called real movies are little more than live-action movies, it's refreshing to see a cartoon that knows what it is, and knows the film's history.	1
The old-world - meets-new mesh is incarnated in the movie 'Stock, a jayl effusion of dystopian Bollow that, by the end of monsoon raining, is not My Spirit coming out of the theatre.	1
jones... doesoes after a brutal 4m of chlorosma.	1
travels A fascinating adventure from hope and euphoria to Realism and Disillusionment.	1
severing seades don't serve up a whole lot of laundry.	0
the star of film that makes me miss hitchcock, but also feel odd that there's hope for popular culture yet.	1
fn, flip and terribly hip bit of cinematic entertainment.	1
the x potin gives the mysteriously named bosom, bubbles and buttercup supernatural powers that include extra-ordinarial strength AND lower-body eyes, which unfortunately do not enable them to discern fluky scenes.	0
the wild Dornberrys moustache is a jelly sandwich.	1
Enterprises by providing good, lively company.	1
a DENSEly recorded, highly referential film, and an audacious return to form that can comfortably sit among Jean-Luc Good's Fifteen books.	1
What was oncence original has been co-opted as a condition at it now seems pedestrian.	0
the system and subject are well-known.	1
macdonald, whose swift southern charm has anchored lighter affairs... brings an absolutely riveting contrast to her role.	1
